Date,Weekday,Status,EMDI,RDI,BINS,Comment
2015-01-30,Fri,Normal trading day,Available,Available,Available,
2015-01-31,Sat,No trading day,Not available,Not available,Not available,
2015-02-01,Sun,No trading day,Not available,Not available,Not available,
2015-02-02,Mon,Normal trading day,Available,Available,Available,
2015-02-03,Tue,Normal trading day,Available,Available,Available,
2015-02-04,Wed,Normal trading day,Available,Available,Available,
2015-02-05,Thu,Normal trading day,Available,Available,Available,
2015-02-06,Fri,Normal trading day,Available,Available,Available,
2015-02-07,Sat,No trading day,Not available,Not available,Not available,
2015-02-08,Sun,No trading day,Not available,Not available,Not available,
2015-02-09,Mon,Normal trading day,Available,Available,Available,
2015-02-10,Tue,Normal trading day,Available,Available,Available,
2015-02-11,Wed,Normal trading day,Available,Available,Available,
2015-02-12,Thu,Normal trading day,Available,Available,Available,
2015-02-13,Fri,Normal trading day,Available,Available,Available,
2015-02-14,Sat,No trading day,Not available,Not available,Not available,
2015-02-15,Sun,No trading day,Not available,Not available,Not available,
2015-02-16,Mon,Normal trading day,Available,Available,Available,
2015-02-17,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2015-02-18,Wed,Normal trading day,Available,Available,Available,
2015-02-19,Thu,Normal trading day,Available,Available,Available,
2015-02-20,Fri,Normal trading day,Available,Available,Available,
2015-02-21,Sat,No trading day,Not available,Not available,Not available,
2015-02-22,Sun,No trading day,Not available,Not available,Not available,
2015-02-23,Mon,Normal trading day,Available,Available,Available,
2015-02-24,Tue,Normal trading day,Available,Available,Available,
2015-02-25,Wed,Normal trading day,Available,Available,Available,
2015-02-26,Thu,Normal trading day,Available,Available,Available,
2015-02-27,Fri,Normal trading day,Available,Available,Available,
2015-02-28,Sat,No trading day,Not available,Not available,Not available,
2015-03-01,Sun,No trading day,Not available,Not available,Not available,
2015-03-02,Mon,Normal trading day,Available,Available,Available,
2015-03-03,Tue,Normal trading day,Available,Available,Available,
2015-03-04,Wed,Normal trading day,Available,Available,Available,
2015-03-05,Thu,Normal trading day,Available,Available,Available,
2015-03-06,Fri,Normal trading day,Available,Available,Available,
2015-03-07,Sat,No trading day,Not available,Not available,Not available,
2015-03-08,Sun,No trading day,Not available,Not available,Not available,
2015-03-09,Mon,Normal trading day,Available,Available,Available,
2015-03-10,Tue,Normal trading day,Available,Available,Available,
2015-03-11,Wed,Normal trading day,Available,Available,Available,
2015-03-12,Thu,Normal trading day,Available,Available,Available,
2015-03-13,Fri,Normal trading day,Available,Available,Available,
2015-03-14,Sat,No trading day,Not available,Not available,Not available,
2015-03-15,Sun,No trading day,Not available,Not available,Not available,
2015-03-16,Mon,Normal trading day,Available,Available,Available,
2015-03-17,Tue,Normal trading day,Available,Available,Available,
2015-03-18,Wed,Normal trading day,Available,Available,Available,
2015-03-19,Thu,Normal trading day,Available,Available,Available,
2015-03-20,Fri,Normal trading day,Available,Available,Available,
2015-03-21,Sat,No trading day,Not available,Not available,Not available,
2015-03-22,Sun,No trading day,Not available,Not available,Not available,
2015-03-23,Mon,Normal trading day,Available,Available,Available,
2015-03-24,Tue,Normal trading day,Available,Available,Available,
2015-03-25,Wed,Normal trading day,Available,Available,Available,
2015-03-26,Thu,Normal trading day,Available,Available,Available,
2015-03-27,Fri,Normal trading day,Available,Available,Available,
2015-03-28,Sat,No trading day,Not available,Not available,Not available,
2015-03-29,Sun,No trading day,Not available,Not available,Not available,
2015-03-30,Mon,Normal trading day,Available,Available,Available,
2015-03-31,Tue,Normal trading day,Available,Available,Available,
2015-04-01,Wed,Normal trading day,Available,Available,Available,
2015-04-02,Thu,Normal trading day,Available,Available,Available,
2015-04-03,Fri,Holiday,Available,Available,Not available,
2015-04-04,Sat,No trading day,Not available,Not available,Not available,
2015-04-05,Sun,No trading day,Not available,Not available,Not available,
2015-04-06,Mon,Holiday,Available,Available,Not available,
2015-04-07,Tue,Normal trading day,Available,Available,Available,
2015-04-08,Wed,Normal trading day,Available,Available,Available,
2015-04-09,Thu,Normal trading day,Available,Available,Available,
2015-04-10,Fri,Normal trading day,Available,Available,Available,
2015-04-11,Sat,No trading day,Not available,Not available,Not available,
2015-04-12,Sun,No trading day,Not available,Not available,Not available,
2015-04-13,Mon,Normal trading day,Available,Available,Available,
2015-04-14,Tue,Normal trading day,Available,Available,Available,
2015-04-15,Wed,Normal trading day,Available,Available,Available,
2015-04-16,Thu,Normal trading day,Available,Available,Available,
2015-04-17,Fri,Normal trading day,Available,Available,Available,
2015-04-18,Sat,No trading day,Not available,Not available,Not available,
2015-04-19,Sun,No trading day,Not available,Not available,Not available,
2015-04-20,Mon,Normal trading day,Available,Available,Available,
2015-04-21,Tue,Normal trading day,Available,Available,Available,
2015-04-22,Wed,Normal trading day,Available,Available,Available,
2015-04-23,Thu,Normal trading day,Available,Available,Available,
2015-04-24,Fri,Normal trading day,Available,Available,Available,
2015-04-25,Sat,No trading day,Not available,Not available,Not available,
2015-04-26,Sun,No trading day,Not available,Not available,Not available,
2015-04-27,Mon,Normal trading day,Available,Available,Available,
2015-04-28,Tue,Normal trading day,Available,Available,Available,
2015-04-29,Wed,Normal trading day,Available,Available,Available,
2015-04-30,Thu,Normal trading day,Available,Available,Available,
2015-05-01,Fri,Holiday,Available,Available,Not available,
2015-05-02,Sat,No trading day,Not available,Not available,Not available,
2015-05-03,Sun,No trading day,Not available,Not available,Not available,
2015-05-04,Mon,Normal trading day,Available,Available,Available,
2015-05-05,Tue,Normal trading day,Available,Available,Available,
2015-05-06,Wed,Normal trading day,Available,Available,Available,
2015-05-07,Thu,Normal trading day,Available,Available,Available,
2015-05-08,Fri,Normal trading day,Available,Available,Available,
2015-05-09,Sat,No trading day,Not available,Not available,Not available,
2015-05-10,Sun,No trading day,Not available,Not available,Not available,
2015-05-11,Mon,Normal trading day,Available,Available,Available,
2015-05-12,Tue,Normal trading day,Available,Available,Available,
2015-05-13,Wed,Normal trading day,Available,Available,Available,
2015-05-14,Thu,Normal trading day,Available,Available,Available,
2015-05-15,Fri,Normal trading day,Available,Available,Available,
2015-05-16,Sat,No trading day,Not available,Not available,Not available,
